model,model_label,dataset,dataset_label,strategy,strategy_label,error_rate,sign_class,ok,delta_mcc,p_value
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,40,1,True,0.10164405205871854,9.5367431640625e-06
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0,1,True,0.03158756013326797,0.000850677490234375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,0,True,0.01485436614960961,0.17685317993164062
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,20,1,True,0.04449948860515074,0.0002613067626953125
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,30,1,True,0.04211485001465276,0.000850677490234375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,40,-1,True,-0.04881424420574598,0.0014324188232421875
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0,0,True,0.017065066990745836,0.082550048828125
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,0,True,0.010861167468028676,0.2305126190185547
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,first,First,20,1,True,0.043422309877365284,0.0010166168212890625
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,first,First,30,1,True,0.03403000254205668,0.002712249755859375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,first,First,40,-1,True,-0.04361209906538535,0.0014324188232421875
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,0,0,True,0.007786594604879737,0.3117942810058594
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,0,True,-0.0007730377294069557,0.3299827575683594
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,20,1,True,0.04344511870185708,0.0019855499267578125
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,30,1,True,0.031834592468171496,0.0031528472900390625
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,40,-1,True,-0.05303061732118636,0.0003948211669921875
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,0,-1,True,-0.033432296868525,0.017181396484375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,0,True,-0.014598435578722702,0.49800872802734375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,20,1,True,0.037390949002620466,0.0019855499267578125
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,30,1,True,0.04470858742963729,0.001689910888671875
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,40,0,True,-0.013638570510449755,0.2942523956298828
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0,1,True,0.02481460185253359,0.0042209625244140625
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,0,True,0.012779518132847556,0.3299827575683594
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,20,1,True,0.0687207665061777,3.814697265625e-06
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,30,1,True,0.03443336531460239,0.0023250579833984375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,40,-1,True,-0.04500431214843567,0.0023250579833984375
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0,0,True,0.013742225536784225,0.1893482208251953
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,1,True,0.017554872937204202,0.04405403137207031
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,20,1,True,0.055124858600993254,4.76837158203125e-05
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,30,1,True,0.048323170829555506,3.62396240234375e-05
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,40,-1,True,-0.05525987136677077,0.0007076263427734375
dmpnn,D-MPNN,ames,Ames,random,Random,0,0,True,-0.0002623361483869435,0.8983173370361328
dmpnn,D-MPNN,ames,Ames,random,Random,10,-1,True,-0.04209097510113813,1.33514404296875e-05
dmpnn,D-MPNN,ames,Ames,random,Random,20,-1,True,-0.034093749260019623,0.001689910888671875
dmpnn,D-MPNN,ames,Ames,random,Random,30,-1,True,-0.02941600598045424,0.017181396484375
dmpnn,D-MPNN,ames,Ames,random,Random,40,0,True,-0.01620546026341735,0.14290618896484375
dmpnn,D-MPNN,ames,Ames,first,First,0,0,True,-0.0024620333710186904,0.7841262817382812
dmpnn,D-MPNN,ames,Ames,first,First,10,-1,True,-0.039875176940069756,0.0003223419189453125
dmpnn,D-MPNN,ames,Ames,first,First,20,-1,True,-0.023128926740964506,0.01068878173828125
dmpnn,D-MPNN,ames,Ames,first,First,30,-1,True,-0.03792940984354509,0.0014324188232421875
dmpnn,D-MPNN,ames,Ames,first,First,40,-1,True,-0.03136699692521966,0.021484375
dmpnn,D-MPNN,ames,Ames,min_oob_error,MinE,0,0,True,0.0025980356092407675,0.7561664581298828
dmpnn,D-MPNN,ames,Ames,min_oob_error,MinE,10,-1,True,-0.039878770382919815,0.000133514404296875
dmpnn,D-MPNN,ames,Ames,min_oob_error,MinE,20,-1,True,-0.030005407646314874,0.0042209625244140625
dmpnn,D-MPNN,ames,Ames,min_oob_error,MinE,30,-1,True,-0.04667738874561961,0.0010166168212890625
dmpnn,D-MPNN,ames,Ames,min_oob_error,MinE,40,0,True,-0.018111825121058384,0.2305126190185547
dmpnn,D-MPNN,ames,Ames,max_oob_error,MaxE,0,0,True,0.0034975603176136127,0.5216732025146484
dmpnn,D-MPNN,ames,Ames,max_oob_error,MaxE,10,-1,True,-0.03783368901610862,4.76837158203125e-05
dmpnn,D-MPNN,ames,Ames,max_oob_error,MaxE,20,-1,True,-0.022447265334911093,0.039989471435546875
dmpnn,D-MPNN,ames,Ames,max_oob_error,MaxE,30,0,True,-0.007589416192164855,0.4304332733154297
dmpnn,D-MPNN,ames,Ames,max_oob_error,MaxE,40,-1,True,-0.03728672807914102,0.0023250579833984375
dmpnn,D-MPNN,ames,Ames,min_oob_uncertainty,MinU,0,0,True,0.000860846023067463,0.47490501403808594
dmpnn,D-MPNN,ames,Ames,min_oob_uncertainty,MinU,10,-1,True,-0.04041498801915816,0.000133514404296875
dmpnn,D-MPNN,ames,Ames,min_oob_uncertainty,MinU,20,0,True,-0.022098162270523303,0.09730720520019531
dmpnn,D-MPNN,ames,Ames,min_oob_uncertainty,MinU,30,-1,True,-0.02650475887094511,0.012079238891601562
dmpnn,D-MPNN,ames,Ames,min_oob_uncertainty,MinU,40,0,True,-0.017781498272240126,0.16495704650878906
dmpnn,D-MPNN,ames,Ames,max_oob_uncertainty,MaxU,0,0,True,0.0031830023049374545,0.7561664581298828
dmpnn,D-MPNN,ames,Ames,max_oob_uncertainty,MaxU,10,-1,True,-0.03932965123122961,0.0001678466796875
dmpnn,D-MPNN,ames,Ames,max_oob_uncertainty,MaxU,20,-1,True,-0.03234942255371803,0.013616561889648438
dmpnn,D-MPNN,ames,Ames,max_oob_uncertainty,MaxU,30,-1,True,-0.03487255816244572,0.00365447998046875
dmpnn,D-MPNN,ames,Ames,max_oob_uncertainty,MaxU,40,0,True,-0.02406749410162423,0.1230926513671875
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,random,Random,0,-1,True,-0.01538171047772774,0.0072956085205078125
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,random,Random,10,-1,True,-0.011992623846700523,0.03623390197753906
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,random,Random,20,0,True,-0.009681656068389555,0.14290618896484375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,random,Random,30,1,True,0.020999875582555394,0.00365447998046875
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,random,Random,40,1,True,0.05642147941021122,9.5367431640625e-06
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,first,First,0,-1,True,-0.017858356101741246,0.0031528472900390625
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,first,First,10,-1,True,-0.011398245492549197,0.03276824951171875
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,first,First,20,0,True,-0.010205972912687766,0.082550048828125
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,first,First,30,1,True,0.027712364036323933,0.0004825592041015625
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,first,First,40,1,True,0.05146133924558066,0.000133514404296875
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,0,-1,True,-0.01959845825606865,0.0004825592041015625
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,10,-1,True,-0.02018231319907937,0.0005855560302734375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,20,-1,True,-0.01400143832508699,0.012079238891601562
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,30,0,True,0.003838562083503083,0.4304332733154297
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,40,0,True,0.016675184136314997,0.082550048828125
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,0,-1,True,-0.017504999075081296,0.0005855560302734375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,10,0,True,-0.0049500055375220064,0.4304332733154297
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,20,0,True,0.011749884078415818,0.14290618896484375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,30,1,True,0.07264859411836677,1.9073486328125e-06
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,40,1,True,0.10439830883250453,1.9073486328125e-06
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0,-1,True,-0.016166650469946475,0.0014324188232421875
