dataset,dataset_label,model,learning_progress,mcc_mean,mcc_std,n_seeds,available_trajectories
pgp_broccatelli,Pgp,Random Forest,40.413223140495866,0.6632959302689206,0.041908547600036,20,20
pgp_broccatelli,Pgp,Random Forest,42.06611570247934,0.6634469730631827,0.041323359876402246,20,20
pgp_broccatelli,Pgp,Random Forest,43.71900826446281,0.6643367133790332,0.03763551404948166,20,20
pgp_broccatelli,Pgp,Random Forest,45.37190082644628,0.6598966671236107,0.04445165384924112,20,20
pgp_broccatelli,Pgp,Random Forest,47.02479338842975,0.6621076680997668,0.043439496180686044,20,20
pgp_broccatelli,Pgp,Random Forest,48.67768595041322,0.6647034793168352,0.04009504356320605,20,20
pgp_broccatelli,Pgp,Random Forest,50.33057851239669,0.666567699942151,0.04178228599612144,20,20
pgp_broccatelli,Pgp,Random Forest,51.98347107438016,0.6693927388310115,0.038121023384783424,20,20
pgp_broccatelli,Pgp,Random Forest,53.63636363636363,0.6677698075097338,0.038926635781119406,20,20
pgp_broccatelli,Pgp,Random Forest,55.289256198347104,0.6645505849605086,0.03942373433874646,20,20
pgp_broccatelli,Pgp,Random Forest,56.94214876033058,0.6641496232821191,0.04093530678614469,20,20
pgp_broccatelli,Pgp,Random Forest,58.59504132231405,0.6640929366704712,0.037619504380380184,20,20
pgp_broccatelli,Pgp,Random Forest,60.247933884297524,0.6628223172743133,0.04088388975117741,20,20
pgp_broccatelli,Pgp,Random Forest,61.900826446280995,0.6620599167573104,0.04239999237433089,20,20
pgp_broccatelli,Pgp,Random Forest,63.553719008264466,0.6607231951549543,0.03903338185636991,20,20
pgp_broccatelli,Pgp,Random Forest,65.20661157024793,0.6611183680269648,0.04300786050304782,20,20
pgp_broccatelli,Pgp,Random Forest,66.85950413223141,0.6620984086779648,0.043484770983989805,20,20
pgp_broccatelli,Pgp,Random Forest,68.51239669421487,0.6611057200405213,0.038038280960595874,20,20
pgp_broccatelli,Pgp,Random Forest,70.16528925619835,0.6586622856553717,0.03735697785046484,20,20
pgp_broccatelli,Pgp,Random Forest,71.81818181818181,0.6540297196792761,0.03701061189955408,20,20
pgp_broccatelli,Pgp,Random Forest,73.47107438016529,0.6562975763866608,0.04136837951161764,20,20
pgp_broccatelli,Pgp,Random Forest,75.12396694214875,0.6511359948520299,0.04152335461146025,20,20
pgp_broccatelli,Pgp,Random Forest,76.77685950413223,0.6517670695662454,0.04069103744757328,20,20
pgp_broccatelli,Pgp,Random Forest,78.4297520661157,0.6494358009381973,0.040003778474019494,20,20
pgp_broccatelli,Pgp,Random Forest,80.08264462809917,0.651982182165994,0.03740737716849685,20,20
pgp_broccatelli,Pgp,Random Forest,81.73553719008264,0.6495132059931785,0.04199655797128196,20,20
pgp_broccatelli,Pgp,Random Forest,83.38842975206612,0.6520900253870999,0.042552122799360985,20,20
pgp_broccatelli,Pgp,Random Forest,85.04132231404958,0.6472857554259118,0.042057576078741374,20,20
pgp_broccatelli,Pgp,Random Forest,86.69421487603306,0.6475173520523276,0.03993835598535932,20,20
pgp_broccatelli,Pgp,Random Forest,88.34710743801652,0.6482550828248698,0.04175056056289509,20,20
pgp_broccatelli,Pgp,Random Forest,90.0,0.6466563334976614,0.04277231757736253,20,20
pgp_broccatelli,Pgp,Random Forest,91.65289256198348,0.6477648242078443,0.042157184745133344,20,20
