figure,rf_set,rf_label,dataset,dataset_label,strategy,strategy_label,start_percent,significant,smal_better,delta_auc,p_value,n,sign_class
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,True,True,0.38051857877546535,0.0010166168212890625,20,1
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,False,True,0.3077042864262421,0.24548721313476562,20,0
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,True,True,0.3517353658875694,0.0031528472900390625,20,1
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,False,-0.3386753662232453,0.21616744995117188,20,0
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,0.906350091350767,0.0001678466796875,20,1
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,0.9467311809675678,1.33514404296875e-05,20,1
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,1.0226188577920403,4.76837158203125e-05,20,1
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-1.855943624111323,1.9073486328125e-06,20,-1
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,1.0208769688603998,0.0001678466796875,20,1
figureS2,rf-n100-d20,100/20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,0.973243123009583,1.9073486328125e-05,20,1
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,random,Random,10,True,True,0.9161216798268125,0.0002613067626953125,20,1
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,first,First,10,True,True,0.9119455407073854,0.000850677490234375,20,1
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,1.2722909962130078,0.0001049041748046875,20,1
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,True,0.047815160993220474,0.9272785186767578,20,0
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,True,True,0.9121754608377841,0.0014324188232421875,20,1
figureS3,rf-n500-d10,500/10,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,True,True,0.8055859356210678,0.0023250579833984375,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,random,Random,10,True,True,1.798496475731297,0.0007076263427734375,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,first,First,10,True,True,1.7069620263620444,0.0007076263427734375,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,True,True,1.4586030463206996,0.013616561889648438,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,True,True,1.9084934667512623,0.0072956085205078125,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,True,True,1.5785143602735758,0.001689910888671875,20,1
figureS3,rf-n500-d10,500/10,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,1.3860788245104168,0.05316925048828125,20,0
