model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,min_oob_error,MinE,0.20599161520069958,0.0449504393261435,20,0.1893164310643846,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,min_oob_uncertainty,MinU,0.23912571656213794,0.03576402264667149,20,0.1893164310643846,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,random,Random,0.24573791047459576,0.0376300204584074,20,0.1893164310643846,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,first,First,0.46452730126191694,0.03602817638558737,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,max_oob_error,MaxE,0.4140299374026462,0.053580553813635134,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,max_oob_uncertainty,MaxU,0.4612044598079553,0.046189128687247956,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,min_oob_error,MinE,0.45524882887605084,0.031107470397575363,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,min_oob_uncertainty,MinU,0.47227683612370475,0.03630931977267844,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,0,random,Random,0.47904979440443907,0.03426836472600303,20,0.4474622342711711,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,first,First,0.4106807723862563,0.04234774537907665,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,max_oob_error,MaxE,0.38522116933950495,0.06311746464205031,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,max_oob_uncertainty,MaxU,0.4173744778554318,0.03752524656038349,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,min_oob_error,MinE,0.3990465671888206,0.05775249745953009,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,min_oob_uncertainty,MinU,0.41259912305107516,0.054533222782025145,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,10,random,Random,0.4146739710678372,0.04439610224040687,20,0.3998196049182276,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,first,First,0.37539095822548263,0.05007795950601435,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,max_oob_error,MaxE,0.3693595973507379,0.04417838722040639,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,max_oob_uncertainty,MaxU,0.38709350694911066,0.03652335987421768,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,min_oob_error,MinE,0.3754137670499744,0.052844482877736645,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,min_oob_uncertainty,MinU,0.4006894148542952,0.03610155294705591,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,20,random,Random,0.3764681369532681,0.044122678450408924,20,0.3319686483481174,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,first,First,0.2880114578006432,0.05018953824566351,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,max_oob_error,MaxE,0.29869004268822386,0.050475072549355716,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,max_oob_uncertainty,MaxU,0.302304626088142,0.03774895254256257,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,min_oob_error,MinE,0.28581604772675806,0.03749654541635102,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,min_oob_uncertainty,MinU,0.2884148205731889,0.039314028201890304,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,30,random,Random,0.29609630527323927,0.041434734969192644,20,0.25398145525858656,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,first,First,0.15606931928763723,0.04930756182598269,20,0.19968141835302258,True
