source,error_rate,dataset,dataset_label,strategy,strategy_label,method,n_seeds,figure_id,rf_set,rf_label,learning_progress,mcc_mean,mcc_std
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,72.27220884552021,0.6204632688671619,0.053911205091374016
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,72.9323943491983,0.62975315823581,0.04861097942451564
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,73.75762622879591,0.6223017290520735,0.04227916763402262
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,74.41781173247401,0.6290061243862592,0.039471782465898865
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,75.24304361207162,0.6246720222753211,0.04171566119657286
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,75.90322911574971,0.6286646808898577,0.04292586466536929
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,76.72846099534732,0.6192534281223134,0.04116575992989397
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,77.55369287494494,0.6166564843756022,0.051117653327399815
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,78.21387837862302,0.6211826107740965,0.053351919702959175
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,79.03911025822065,0.6216867082340375,0.05020120528951252
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,79.69929576189872,0.617846827227804,0.051739836827637456
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,80.52452764149635,0.6200576889373629,0.048791220651537924
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,81.18471314517443,0.6202285206796107,0.046686243784592664
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,82.00994502477205,0.6108867648526608,0.0525147070074895
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,82.67013052845013,0.6196797036568533,0.04650775040102832
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,83.49536240804775,0.6154534613934047,0.04800997977676186
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,84.15554791172583,0.6232627641377346,0.04664354418506631
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,84.98077979132346,0.6148082971721714,0.04840771733250408
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,85.80601167092107,0.6211456835440016,0.04076577724561999
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,86.46619717459916,0.6111394583684641,0.044323597203125294
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,87.29142905419677,0.6106300028934857,0.04316300777856129
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,87.95161455787486,0.610051322880684,0.04714123554698539
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,88.77684643747247,0.6092228233877477,0.047848257696386925
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,89.43703194115056,0.6104022502181923,0.05084376747871447
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,90.26226382074817,0.6149891734347833,0.05457697073829339
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,90.92244932442627,0.6064269088853158,0.04909569931539174
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,91.74768120402388,0.6087774747895133,0.04519457687935158
