source,dataset,dataset_label,strategy,strategy_label,error_rate,target_error_rate,seed,introduced_error_pct,final_error_pct,error_reduction,shuffle_fraction
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,8,10.180623973727423,5.536332179930796,4.644291793796627,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,9,10.83743842364532,9.688581314878892,1.1488571087664283,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,10,10.180623973727423,10.034602076124568,0.14602189760285533,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,11,10.180623973727423,9.342560553633218,0.8380634200942048,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,12,9.852216748768473,8.996539792387544,0.855676956380929,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,13,9.852216748768473,10.034602076124568,-0.18238532735609425,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,14,9.852216748768473,9.342560553633218,0.5096561951352552,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,15,8.866995073891626,8.304498269896193,0.5624968039954332,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,16,7.8817733990147785,5.88235294117647,1.9994204578383084,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,17,10.50903119868637,12.110726643598616,-1.6016954449122451,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,18,8.866995073891626,10.034602076124568,-1.1676070022329412,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,20,,19,11.494252873563218,11.418685121107266,0.07556775245595126,20.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,0,14.449917898193759,16.666666666666664,-2.2167487684729057,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,1,15.10673234811166,12.681159420289855,2.425572927821804,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,2,16.420361247947454,17.02898550724638,-0.6086242592989244,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,3,13.793103448275861,13.405797101449277,0.38730634682658405,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,4,15.763546798029557,17.391304347826086,-1.627757549796529,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,5,13.793103448275861,12.681159420289855,1.1119440279860058,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,6,13.136288998357964,13.043478260869565,0.0928107374883993,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,7,15.763546798029557,15.579710144927535,0.18383665310202169,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,8,15.435139573070607,19.92753623188406,-4.492396658813451,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,9,15.435139573070607,12.681159420289855,2.753980152780752,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,10,14.77832512315271,14.855072463768115,-0.07674734061540534,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,11,15.435139573070607,12.681159420289855,2.753980152780752,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,12,13.793103448275861,13.768115942028986,0.024987506246874958,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,13,16.091954022988507,16.304347826086957,-0.21239380309845046,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,14,12.479474548440066,8.695652173913043,3.7838223745270234,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,15,14.12151067323481,16.304347826086957,-2.182837152852146,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,16,14.77832512315271,11.231884057971014,3.546441065181696,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,17,16.420361247947454,17.753623188405797,-1.3332619404583426,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,18,16.091954022988507,16.666666666666664,-0.5747126436781578,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,30,,19,16.748768472906402,16.666666666666664,0.08210180623973784,30.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,0,20.032840722495894,18.06282722513089,1.9700134973650059,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,1,17.4055829228243,15.18324607329843,2.222336849525872,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,2,21.34646962233169,21.98952879581152,-0.6430591734798305,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,3,18.0623973727422,17.539267015706805,0.5231303570353951,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,4,19.376026272578,19.10994764397906,0.26607862859894027,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,5,18.39080459770115,15.44502617801047,2.9457784196906776,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,6,19.704433497536947,18.848167539267017,0.8562659582699297,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,7,19.047619047619047,18.848167539267017,0.19945150835203052,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,8,19.704433497536947,20.680628272251308,-0.9761947747143616,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,9,21.67487684729064,21.98952879581152,-0.3146519485208792,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,10,19.704433497536947,20.418848167539267,-0.71441467000232,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,11,19.704433497536947,21.20418848167539,-1.4997549841384448,40.0
