error_rate,dataset,strategy,delta_auc,p_value,n,category
0,CHEMBL222-1,random,0.03191445147135461,0.4304332733154297,20,no_difference
0,CHEMBL222-2,first,0.01020674366613541,0.8983173370361328,20,no_difference
0,CHEMBL222-2,max_oob_error,-0.08424367678141423,0.082550048828125,20,no_difference
0,CHEMBL222-2,max_oob_uncertainty,-0.018324115161737355,0.4523754119873047,20,no_difference
0,CHEMBL222-2,min_oob_error,0.0489300345485109,0.6215133666992188,20,no_difference
0,CHEMBL222-2,min_oob_uncertainty,0.013651728031640076,0.956329345703125,20,no_difference
0,CHEMBL222-2,random,-0.008330110790599577,0.8408222198486328,20,no_difference
0,CHEMBL223-1,first,-0.23341129986230236,0.4523754119873047,20,no_difference
0,CHEMBL223-1,max_oob_error,-1.3166453068308475,0.0031528472900390625,20,worse
0,CHEMBL223-1,max_oob_uncertainty,0.47191511408327325,0.2942523956298828,20,no_difference
0,CHEMBL223-1,min_oob_error,-0.14803014274472304,0.8408222198486328,20,no_difference
0,CHEMBL223-1,min_oob_uncertainty,-0.34687234445159126,0.1893482208251953,20,no_difference
0,CHEMBL223-1,random,0.09187822399827147,0.6476554870605469,20,no_difference
0,CHEMBL224-1,first,0.05637249097904125,0.082550048828125,20,no_difference
0,CHEMBL224-1,max_oob_error,0.2625001873571808,8.20159912109375e-05,20,better
0,CHEMBL224-1,max_oob_uncertainty,0.04127936554490077,0.023950576782226562,20,better
0,CHEMBL224-1,min_oob_error,0.077699818179034,0.03623390197753906,20,better
0,CHEMBL224-1,min_oob_uncertainty,0.15483608455873998,0.0014324188232421875,20,better
0,CHEMBL224-1,random,0.05468483635903141,0.082550048828125,20,no_difference
0,CHEMBL224-2,first,0.9681613310361797,0.0001049041748046875,20,better
0,CHEMBL224-2,max_oob_error,3.093312423863965,1.9073486328125e-05,20,better
0,CHEMBL224-2,max_oob_uncertainty,0.21246120004180646,0.6476554870605469,20,no_difference
0,CHEMBL224-2,min_oob_error,0.46200895577906637,0.11398696899414062,20,no_difference
0,CHEMBL224-2,min_oob_uncertainty,0.7242304112609865,0.0005855560302734375,20,better
0,CHEMBL224-2,random,0.776478404815007,0.000133514404296875,20,better
0,CHEMBL225-1,first,-0.014449629215091875,0.956329345703125,20,no_difference
0,CHEMBL225-1,max_oob_error,-0.308190934899358,0.0042209625244140625,20,worse
0,CHEMBL225-1,max_oob_uncertainty,-0.02653690550418055,0.5705966949462891,20,no_difference
0,CHEMBL225-1,min_oob_error,0.0006668064141134522,0.8694877624511719,20,no_difference
0,CHEMBL225-1,min_oob_uncertainty,-0.030177247913383453,0.5705966949462891,20,no_difference
0,CHEMBL225-1,random,-0.13622622474195759,0.20244979858398438,20,no_difference
0,CHEMBL225-2,first,-0.010395031411450262,0.49800872802734375,20,no_difference
0,CHEMBL225-2,max_oob_error,-0.002612064245735013,0.7561664581298828,20,no_difference
0,CHEMBL225-2,max_oob_uncertainty,-0.01282073625753064,0.34881019592285156,20,no_difference
0,CHEMBL225-2,min_oob_error,-0.0001261968736010033,0.9272785186767578,20,no_difference
0,CHEMBL225-2,min_oob_uncertainty,0.0006220928091625666,0.9272785186767578,20,no_difference
0,CHEMBL225-2,random,-0.009526623696944726,0.4523754119873047,20,no_difference
0,CHEMBL228-1,first,0.3761967429142835,0.0003223419189453125,20,better
0,CHEMBL228-1,max_oob_error,0.5309389236997764,0.0007076263427734375,20,better
0,CHEMBL228-1,max_oob_uncertainty,0.613947334803003,0.006389617919921875,20,better
0,CHEMBL228-1,min_oob_error,0.272112232826985,0.09730720520019531,20,no_difference
0,CHEMBL228-1,min_oob_uncertainty,0.2207612774944682,0.06372261047363281,20,no_difference
0,CHEMBL228-1,random,0.4006098693201974,0.0072956085205078125,20,better
0,CHEMBL228-2,first,-0.08433840672162773,0.05316925048828125,20,no_difference
0,CHEMBL228-2,max_oob_error,-0.04605092502559387,0.47490501403808594,20,no_difference
0,CHEMBL228-2,max_oob_uncertainty,-0.07358148150389106,0.058258056640625,20,no_difference
0,CHEMBL228-2,min_oob_error,-0.0814807398327126,0.06372261047363281,20,no_difference
0,CHEMBL228-2,min_oob_uncertainty,-0.031048449561646763,0.4304332733154297,20,no_difference
0,CHEMBL228-2,random,-0.059820152523404245,0.17685317993164062,20,no_difference
0,CHEMBL229-1,first,0.6349720582321874,0.38837623596191406,20,no_difference
0,CHEMBL229-1,max_oob_error,1.1006193276998164,0.002712249755859375,20,better
0,CHEMBL229-1,max_oob_uncertainty,0.5820273384136858,0.24548721313476562,20,no_difference
0,CHEMBL229-1,min_oob_error,0.4649921249123331,0.4523754119873047,20,no_difference
0,CHEMBL229-1,min_oob_uncertainty,0.5661146932740422,0.26109886169433594,20,no_difference
0,CHEMBL229-1,random,0.6700782179177647,0.36827659606933594,20,no_difference
0,CHEMBL229-2,first,-0.022855661938497817,0.039989471435546875,20,worse
0,CHEMBL229-2,max_oob_error,-0.0022470994266404532,0.5502572060902096,20,no_difference
0,CHEMBL229-2,max_oob_uncertainty,-0.02042774002229919,0.10539817810058594,20,no_difference
0,CHEMBL229-2,min_oob_error,-0.009694483146383881,0.3117942810058594,20,no_difference
0,CHEMBL229-2,min_oob_uncertainty,-0.009694483146383881,0.3117942810058594,20,no_difference
0,CHEMBL229-2,random,-0.029768445055044345,0.006389617919921875,20,worse
0,CHEMBL231-1,first,0.034475342098245675,0.2305126190185547,20,no_difference
0,CHEMBL231-1,max_oob_error,0.5786840775274797,0.04844093322753906,20,better
0,CHEMBL231-1,max_oob_uncertainty,-0.1288714841540209,0.6215133666992188,20,no_difference
0,CHEMBL231-1,min_oob_error,-0.06041645986057702,0.6476554870605469,20,no_difference
0,CHEMBL231-1,min_oob_uncertainty,-0.14570744666922977,0.47490501403808594,20,no_difference
0,CHEMBL231-1,random,0.01524581725403067,0.6215133666992188,20,no_difference
0,CHEMBL232-1,first,0.3508963838250175,0.5216732025146484,20,no_difference
0,CHEMBL232-1,max_oob_error,5.577770226988735,2.6702880859375e-05,20,better
0,CHEMBL232-1,max_oob_uncertainty,0.724470470309876,0.5216732025146484,20,no_difference
0,CHEMBL232-1,min_oob_error,-0.1451077429493271,0.8983173370361328,20,no_difference
0,CHEMBL232-1,min_oob_uncertainty,0.6968356748314559,0.20244979858398438,20,no_difference
0,CHEMBL232-1,random,1.3332838292757672,0.09730720520019531,20,no_difference
0,CHEMBL2326-1,first,-0.08954051319471504,0.069580078125,20,no_difference
0,CHEMBL2326-1,max_oob_error,-0.1845857151866749,0.05316925048828125,20,no_difference
0,CHEMBL2326-1,max_oob_uncertainty,-0.0437995376824567,0.24548721313476562,20,no_difference
