dataset,protocol,seed,value,metric
PAMPA_NCATS,pl,16,0.2293307027466636,mcc
PAMPA_NCATS,pl,17,0.0190568767169656,mcc
PAMPA_NCATS,pl,18,0.1458894900224888,mcc
PAMPA_NCATS,pl,19,0.1880689536767888,mcc
PAMPA_NCATS,random,0,0.2150295236306257,mcc
PAMPA_NCATS,random,1,0.2045338364607981,mcc
PAMPA_NCATS,random,2,0.2276335140909051,mcc
PAMPA_NCATS,random,3,0.199236329393368,mcc
PAMPA_NCATS,random,4,0.1348988063780779,mcc
PAMPA_NCATS,random,5,0.1261354626040776,mcc
PAMPA_NCATS,random,6,0.2152284419260377,mcc
PAMPA_NCATS,random,7,0.1536458059114176,mcc
PAMPA_NCATS,random,8,0.1645687622417721,mcc
PAMPA_NCATS,random,9,0.1694343055381649,mcc
PAMPA_NCATS,random,10,0.1825315306477585,mcc
PAMPA_NCATS,random,11,0.1865160107232604,mcc
PAMPA_NCATS,random,12,0.2573766967122377,mcc
PAMPA_NCATS,random,13,0.1679269535742268,mcc
PAMPA_NCATS,random,14,0.2138863610422667,mcc
PAMPA_NCATS,random,15,0.1746467745065274,mcc
PAMPA_NCATS,random,16,0.2511739677868876,mcc
PAMPA_NCATS,random,17,0.1121253760364239,mcc
PAMPA_NCATS,random,18,0.1934986402453523,mcc
PAMPA_NCATS,random,19,0.2082137372855986,mcc
PAMPA_NCATS,first,0,0.1945087636767879,mcc
PAMPA_NCATS,first,1,0.1953126613818057,mcc
PAMPA_NCATS,first,2,0.2009877450385541,mcc
PAMPA_NCATS,first,3,0.2047737016340866,mcc
PAMPA_NCATS,first,4,0.2035665583266045,mcc
PAMPA_NCATS,first,5,0.1127252068688154,mcc
PAMPA_NCATS,first,6,0.2028767261784807,mcc
PAMPA_NCATS,first,7,0.1282701922605918,mcc
PAMPA_NCATS,first,8,0.1749640729158802,mcc
PAMPA_NCATS,first,9,0.2259648106930984,mcc
PAMPA_NCATS,first,10,0.1580350805449656,mcc
PAMPA_NCATS,first,11,0.2289766090598032,mcc
PAMPA_NCATS,first,12,0.2567318744528457,mcc
PAMPA_NCATS,first,13,0.1943836209541316,mcc
PAMPA_NCATS,first,14,0.1942862142428447,mcc
PAMPA_NCATS,first,15,0.181042665388581,mcc
PAMPA_NCATS,first,16,0.2217057218230683,mcc
PAMPA_NCATS,first,17,0.1779783258768927,mcc
PAMPA_NCATS,first,18,0.1532905882579849,mcc
PAMPA_NCATS,first,19,0.2076930525603632,mcc
PAMPA_NCATS,min_oob_error,0,0.1813156524316207,mcc
PAMPA_NCATS,min_oob_error,1,0.1897444613420165,mcc
