source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,20,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,0.30999730454414176,0.03623390197753906,20,1
initial,20,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,0.16078844706488526,0.14290618896484375,20,0
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0.0377573987890754,0.3299827575683594,20,0
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.038144913396449986,0.49800872802734375,20,0
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,-0.024390022227829,0.7011814117431641,20,0
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,-0.22690085038910937,0.0003948211669921875,20,-1
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.06148375987005643,0.1893482208251953,20,0
initial,20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.02325719866805933,0.5458755493164062,20,0
initial,20,ames,Ames,random,Random,0.11281097526594089,0.009435653686523438,20,1
initial,20,ames,Ames,first,First,0.10960689718806851,0.01068878173828125,20,1
initial,20,ames,Ames,min_oob_error,MinE,0.001671930053085724,0.9854354858398438,20,0
initial,20,ames,Ames,max_oob_error,MaxE,0.355104917105575,1.9073486328125e-06,20,1
initial,20,ames,Ames,min_oob_uncertainty,MinU,0.21621335507777353,1.9073486328125e-05,20,1
initial,20,ames,Ames,max_oob_uncertainty,MaxU,0.08437175439813327,0.04405403137207031,20,1
initial,20,CYP3A4_Veith,CYP3A4,random,Random,0.015274980846273323,0.039989471435546875,20,1
initial,20,CYP3A4_Veith,CYP3A4,first,First,0.011820080372457653,0.26109886169433594,20,0
initial,20,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,-0.01634762344439409,0.03276824951171875,20,-1
initial,20,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,0.06537464679060889,2.6702880859375e-05,20,1
initial,20,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0.023104743676338656,0.0023250579833984375,20,1
initial,20,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0.005072739911273061,0.49800872802734375,20,0
initial,20,CYP2D6_Veith,CYP2D6,random,Random,0.4242627554599833,0.0014324188232421875,20,1
initial,20,CYP2D6_Veith,CYP2D6,first,First,0.6312675253705633,3.814697265625e-06,20,1
initial,20,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,-0.6359646269334229,1.9073486328125e-05,20,-1
initial,20,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,-0.3094346813010258,0.0023250579833984375,20,-1
initial,20,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,0.6752021267691017,1.9073486328125e-06,20,1
initial,20,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,0.5175949852253175,3.62396240234375e-05,20,1
initial,30,pgp_broccatelli,Pgp,random,Random,0.528903788073366,0.013616561889648438,20,1
initial,30,pgp_broccatelli,Pgp,first,First,0.5118557926352564,0.01068878173828125,20,1
initial,30,pgp_broccatelli,Pgp,min_oob_error,MinE,-0.24903381063328708,0.069580078125,20,0
initial,30,pgp_broccatelli,Pgp,max_oob_error,MaxE,1.777034875150194,3.814697265625e-06,20,1
initial,30,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0.8915479452058677,2.6702880859375e-05,20,1
initial,30,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0.6050342991902552,0.021484375,20,1
