dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
CYP3A4_Veith,0,mcc,max_oob_error,diverse,Diverse,20,0.5204606204739746,0.0314988061106145,0.4955054269927996,0.031423222220807144,0.024955193481174778,0.025257368745285336,1.0,9.5367431640625e-07
CYP3A4_Veith,0,mcc,max_oob_error,diverse_balanced,Diverse Balanced,20,0.5204606204739746,0.0314988061106145,0.5120507987926083,0.024572420287312033,0.008409821681366161,0.008174362949312508,0.75,0.0036478042602539062
CYP3A4_Veith,0,mcc,max_oob_error,edited_nearest_neighbours,EditedNN,20,0.5204606204739746,0.0314988061106145,0.48051737272322337,0.017146113270124393,0.03994324775075116,0.04098076301325143,0.9,4.76837158203125e-06
CYP3A4_Veith,0,mcc,max_oob_error,full,Full Model,20,0.5204606204739746,0.0314988061106145,0.516911737188472,0.03122714476678571,0.003548883285502408,0.004343517933234675,0.7,0.0347900390625
CYP3A4_Veith,0,mcc,max_oob_error,instance_hardness_threshold,InstanceHardness,20,0.5204606204739746,0.0314988061106145,0.4857697321902764,0.032214299441257664,0.03469088828369811,0.03636828417678384,1.0,9.5367431640625e-07
CYP3A4_Veith,0,mcc,max_oob_error,near_miss,NearMiss,20,0.5204606204739746,0.0314988061106145,0.5040199059533645,0.038561968012253214,0.016440714520609995,0.01154852302433268,0.95,2.86102294921875e-06
CYP3A4_Veith,0,mcc,max_oob_error,neighbourhood_cleaning_rule,NeighbourhoodCleaning,20,0.5204606204739746,0.0314988061106145,0.4909684630239594,0.01578563872027751,0.029492157450015016,0.029795782894443373,0.85,2.384185791015625e-05
CYP3A4_Veith,0,mcc,max_oob_error,one_sided_selection,OneSidedSelection,20,0.5204606204739746,0.0314988061106145,0.5154570476404511,0.029587070481597567,0.005003572833523396,0.007451977139349308,0.7,0.019994735717773438
CYP3A4_Veith,0,mcc,max_oob_error,random,Random,20,0.5204606204739746,0.0314988061106145,0.5079382289541353,0.03054637454800341,0.012522391519839146,0.013743908382080339,0.85,5.245208740234375e-05
CYP3A4_Veith,0,mcc,max_oob_error,random_over_sampler,RandomOverSampler,20,0.5204606204739746,0.0314988061106145,0.5164627866113067,0.028109906034035164,0.003997833862667738,0.005602480762472328,0.65,0.048653602600097656
